Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Cellular_Component_2021	cell-substrate junction (GO:0030055)	70/394	1.432152e-13	3.462099e-11	0	0	3.039803e+00	8.990044e+01	ITGB1;ARF1;CD81;ARPC1B;ITGB3;FHL1;SNAP23;HSPB1;ILK;TRIOBP;ACTB;DCAF6;ACTG1;MPRIP;YWHAQ;CFL1;CAPN2;RAC1;CAPN1;B2M;TNS1;TPM4;ACTN1;AFAP1;YWHAZ;RHOA;DNM2;CTTN;MYH9;PFN1;TLN1;MAPRE1;PPIB;MAPRE2;PPIA;PLEC;CD151;NEXN;CORO1C;HSP90B1;CDC42;PDLIM1;G3BP1;PACSIN2;FLNA;RSU1;CD99;PDLIM7;CLASP2;VASP;HSPA9;SVIL;GSN;HMGA1;MSN;ARPC5;PARVB;PTK2;RAB10;EHD3;DAB2;MARCKS;ARPC2;PTPRA;ZYX;CD9;HYOU1;P4HB;FERMT3;LIMS1
GO_Cellular_Component_2021	focal adhesion (GO:0005925)	69/387	1.798493e-13	3.462099e-11	0	0	3.051568e+00	8.955332e+01	ITGB1;ARF1;CD81;ARPC1B;ITGB3;FHL1;SNAP23;HSPB1;ILK;TRIOBP;ACTB;DCAF6;ACTG1;MPRIP;YWHAQ;CFL1;CAPN2;RAC1;CAPN1;B2M;TNS1;TPM4;ACTN1;AFAP1;YWHAZ;RHOA;DNM2;CTTN;MYH9;PFN1;TLN1;MAPRE1;PPIB;MAPRE2;PPIA;PLEC;CD151;NEXN;CORO1C;HSP90B1;CDC42;PDLIM1;G3BP1;PACSIN2;FLNA;RSU1;CD99;PDLIM7;CLASP2;VASP;HSPA9;SVIL;GSN;HMGA1;MSN;ARPC5;PARVB;PTK2;RAB10;EHD3;DAB2;MARCKS;ARPC2;PTPRA;ZYX;CD9;HYOU1;P4HB;LIMS1
GO_Cellular_Component_2021	platelet alpha granule (GO:0031091)	29/90	7.344576e-13	9.425539e-11	0	0	6.577802e+00	1.837814e+02	CFD;TOR4A;APP;SERPINA1;SPARC;SERPINE2;ITGB3;ITGA2B;SERPINE1;F13A1;CLU;THBS1;CYB5R1;TMSB4X;TIMP1;LY6G6F;SNCA;VTI1B;SRGN;TGFB1;ACTN1;PPBP;GTPBP2;SYTL4;CD9;MAGED2;ALDOA;FERMT3;PF4
GO_Cellular_Component_2021	cytoskeleton (GO:0005856)	90/600	1.336568e-12	1.085268e-10	0	0	2.496074e+00	6.824495e+01	CLIC4;ARPC1B;FHOD1;HSPB1;ARHGAP6;CLU;TRIOBP;ACTB;MYLK;ACTG1;TUBA1C;SAMD14;TUBA1B;MPRIP;CAPZB;ARHGDIA;CFL1;ARHGDIB;AKT1;RAC1;KIFAP3;CDK5RAP2;TPM4;RIPK2;TPM3;TUBB;TPM1;AFAP1;RHOF;RHOC;ANK1;TUBA4A;RHOA;DNM2;FRMD3;DNM3;PSRC1;CTTN;MAP7D1;AKAP9;MYH9;PKP4;TAX1BP3;ALDOA;GAPDH;MAPRE2;PLEC;MACF1;ROCK1;SHMT2;EPB41;MVP;KLHL17;NEXN;ADD3;RHOBTB1;CORO1C;PDLIM1;ARHGAP21;EPB41L3;FLNA;STOM;SPTBN1;PDLIM7;SNCA;VASP;SVIL;DMTN;GSN;PCIF1;MX1;CTNS;DSTN;MSN;ARPC5;PARVB;TBCA;TUBB4B;NPM3;PTK2;AGBL5;VIL1;MARCKS;ARPC2;CAPZA1;CAPZA2;ZYX;P4HB;TUBA8;MYO1G
GO_Cellular_Component_2021	secretory granule lumen (GO:0034774)	59/316	1.409439e-12	1.085268e-10	0	0	3.214708e+00	8.772239e+01	APP;GPI;SPARC;SERPINA1;SERPINE1;F13A1;PYGL;HMGB1;SRP14;CLU;PSMD7;TMSB4X;COTL1;TIMP1;B2M;CTSD;SRGN;HSP90AA1;DBNL;IST1;ACTN1;TUBB;PRKCD;MIF;GTPBP2;PKM;PPIE;ALDOA;PPIA;FTL;CFD;TOR4A;CSTB;VCP;ROCK1;MVP;THBS1;CYB5R3;VTI1B;CTSA;XRCC6;GSN;TGFB1;TRAPPC1;PA2G4;PPBP;ARPC5;TUBB4B;MAPK14;PRDX6;DERA;IMPDH1;TOLLIP;IMPDH2;LCN2;MAGED2;GLA;FERMT3;PF4
GO_Cellular_Component_2021	endosome membrane (GO:0010008)	59/325	4.786026e-12	3.071033e-10	0	0	3.104418e+00	8.091765e+01	ITGB1;CLTA;AP2A1;SLA2;CHMP1B;VPS35;RAC1;B2M;CTSD;RAB8A;AP2M1;ATP6V0E1;SPHK1;HLA-B;HLA-C;WIPI1;HLA-A;VPS37B;SLC39A14;MR1;HLA-E;RUFY1;RABEP1;TBC1D5;TMBIM1;CHMP6;VPS28;CD63;ADRB2;TMEM163;RHOBTB1;CORO1C;SNX3;SNX4;GGA1;HLA-DMA;SNX2;IRAK1;UBC;AP2S1;PACSIN2;ATP9A;SNX6;VTI1B;RAB4A;CMTM6;AP3D1;RAB11A;RAB11B;EHD1;EHD3;ABHD17A;LAMTOR2;TAB2;UBA1;LAMTOR1;CD68;MYD88;CD320
GO_Cellular_Component_2021	ficolin-1-rich granule lumen (GO:1904813)	31/123	1.480962e-10	8.145289e-09	0	0	4.661316e+00	1.055003e+02	CFD;GPI;CSTB;VCP;ASAH1;SERPINA1;MVP;HMGB1;PYGL;SRP14;PSMD7;FTH1;COTL1;CAPN1;CTSD;KCMF1;XRCC6;HSP90AA1;DBNL;GSN;MIF;ARPC5;MAPK14;DERA;PKM;IMPDH1;IMPDH2;PPIE;ALDOA;YPEL5;PPIA
GO_Cellular_Component_2021	actin cytoskeleton (GO:0015629)	54/316	3.990572e-10	1.920463e-08	0	0	2.874385e+00	6.220720e+01	CLIC4;WDR1;ARPC1B;ARHGAP6;ACTB;TRIOBP;MYLK;ACTG1;SAMD14;MPRIP;CAPZB;PSTPIP2;CFL1;CAPN2;COTL1;RAC1;DBNL;TPM4;TPM3;ACTN1;TPM1;AFAP1;CLDN5;CTTN;MYH9;TAX1BP3;ALDOA;MACF1;KLHL17;NEXN;ASAP1;CORO1C;ARHGAP21;PAK1;FLNA;GAS2L1;PDLIM7;SNCA;VASP;SVIL;DMTN;GSN;DSTN;PARVB;ARPC5;NPM3;VIL1;MARCKS;ARPC2;CAPZA1;CAPZA2;ZYX;FERMT3;MYO1G
GO_Cellular_Component_2021	intracellular membrane-bounded organelle (GO:0043231)	454/5192	5.848514e-10	2.501864e-08	0	0	1.451527e+00	3.085896e+01	CHIC2;POP7;THYN1;HNRNPU;MSANTD4;ENO1;SMC6;SLA2;TMEM91;LIPA;DCAF6;PSMD8;PSMD7;TBK1;CNST;SCP2;AKT1;PRKCB;DAPK2;PRKCD;WDR74;HUS1;RUFY1;PSME3;SARNP;ATF7;ATF4;SLBP;LRPAP1;SHMT2;MEPCE;ZNF24;GATA2;OAZ1;PRDX5;ZBTB7A;SERF2;VTI1B;HEXIM1;HEXIM2;NFE2;MAD2L1BP;UPF3A;NR1D1;PA2G4;PRDX6;PBX1;EHD1;EHD3;PPP5C;ADI1;L1TD1;HBP1;PKIG;CDKN1C;BTG3;CDKN1A;SERPINA1;TDRP;STON2;CLINT1;TUBA1C;UBL5;NIPBL;AIFM2;TMSB4X;ANXA7;RRP12;ZNF367;ZNF485;UPF1;BATF2;HELLS;TPI1;SPHK1;TESC;DYNLL1;SERPINB6;PSMA4;TUBB2A;CACTIN;SF3B4;SF3B5;SF3B2;CTDP1;RPS27L;CCNDBP1;FAM214B;PTGS1;GGA1;HLA-DMA;PSMB2;SNX25;UBN1;AP2S1;FLNA;BRD4;CDKN2D;SF3A3;MBD4;EGLN3;CDKN2B;SF3A1;EGLN2;GSN;CRBN;CSNK1A1;CDKN2A;CARD8;NR1H2;TUBB4B;HIPK3;PSMB9;HIPK2;AGBL5;RYBP;PSMC4;CENPJ;ZYX;ZNF217;YPEL5;LAMTOR4;UBE2D2;PDCD5;MAP3K7CL;CLU;NUDT11;YY1;TUBB6;GRAP2;MPC2;CFL1;KPNA6;AP2M1;RAB2A;BNIP3L;TLE3;USP5;IST1;VRK3;RBX1;CDC25B;NCL;PKP4;ANAPC5;ERH;SNRPF;SNRNP25;SQSTM1;PVALB;SNRPB;MAX;ANKRD11;MAZ;ISG20L2;PHB;RHOBTB1;HSP90B1;SAV1;TPR;SMYD3;TRAPPC2;AKIRIN2;AKIRIN1;TOR1A;NOP16;LSM1;BTBD7;ARPC5;LSM4;NFKB2;DRAP1;MOB1B;LSM7;DAB2;RGCC;ARPC2;MYD88;ISY1;RNF10;PPP1R13B;MCM7;ITGB3;MCM9;FHL1;PTEN;ARRB1;ZC3H6;PTBP1;HHEX;SIN3B;SUMO3;UBTF;HMG20B;TLK1;RFC5;EIF5B;HSP90AA1;GPX4;ELAC2;VEZF1;VPS37B;RAD23B;PTBP3;PPM1A;PTP4A2;TFDP1;PKM;TMBIM1;MCM4;DCTPP1;GAPDH;MCM2;HDAC5;MTPN;PRKAA1;SMARCD2;WBP2;PPM1N;CEBPG;TULP3;DPCD;CDC45;DNAJB6;CCDC85B;POLR2E;SAP18;TNNI2;POLR2L;NDUFA9;MLXIP;PTPN18;GPKOW;SMOX;CTNS;HNRNPAB;PNRC2;IMPDH1;ZGLP1;IMPDH2;ZNF615;KLF9;POLR3H;PFKP;CMAS;SPARC;RTCA;NUDT1;CCAR2;ACTB;NUDT3;CCAR1;GOLGA2;FTH1;CPNE1;SNRPD3;GLUL;SOX4;TMPO;SKP1;IFRD2;IFRD1;AP1B1;TALDO1;SRRM1;AKAP9;BTK;VDAC3;PREB;KDELR2;TRIB1;PFN1;AURKAIP1;TRIB2;DCUN1D5;PTTG1IP;TXN;NLK;DGUOK;PPCS;SWI5;INPP5K;HIVEP2;CTSA;XRCC6;RABGAP1L;SETDB1;GADD45A;SIAH2;PDE2A;PTK2;MANF;STAG1;NDUFAF3;CALM3;GRB2;ANP32B;CALM1;ITM2B;CCNJL;RPAIN;CLIC4;OTUD7B;SPPL3;SYNCRIP;MAP1LC3B;CTSL;XPO6;RAC1;HTATIP2;NCOA1;SYK;NCOA3;STRADB;TUBB;NCOA4;COMMD1;RHOF;RHOC;COMMD4;SREBF2;RHOA;COMMD5;PRPF18;CTTN;TAX1BP3;ALDOA;PTMA;CD63;CSTB;PCNA;NT5C;SH3BGRL;TCEAL4;LMNA;UBL4A;CD74;SVIL;RANBP1;SPRYD4;RPA1;XPO7;RAB11A;MLH3;GFI1B;CCNG1;TACC3;TRIP10;HDGF;MPHOSPH8;TJP2;MIDN;FHOD1;PEBP1;NUCKS1;CIB1;PRDM1;SRP14;ACRBP;ACTG1;IGF1R;EFTUD2;FBL;CCND3;RGS3;BANF1;ZBP1;G6PD;PCID2;CDYL;CGRRF1;ADAM19;SPOCD1;DOK1;HNRNPUL1;TBL1XR1;CMPK1;PPIE;PPIG;PPIB;PPIA;VCP;UBA7;TAF5L;ZFP36L1;VCPIP1;IRAK1;ZMAT2;UBC;PACSIN2;CAMTA1;ISOC2;CPSF7;PDHA1;TGFB1;UBE2B;CBX3;VTA1;PCIF1;HMGA1;CHCHD10;MSN;AZIN1;CLK2;DIAPH1;NASP;NABP2;UBE2O;UBA1;GSK3A;PRKCSH;HSPB1;HMGB1;CHD2;DNPH1;SENP6;UBE2Q2;CASP3;MYBL2;KDM6B;YWHAZ;ETV6;RABEP1;TBC1D5;TRAPPC6B;MYH9;MVP;LEF1;RNF8;CLN6;RNF113A;UGP2;BNIP2;RALY;SNCA;RBM38;NAA10;EYA3;TAF10;MX1;CMTM6;NAP1L1;MAPK14;YY1AP1;USF2;U2SURP;POLE4;GOLPH3;WEE1;ABHD17A;RPS6KB2;CDK2AP2;RGS10;TAF3
GO_Cellular_Component_2021	platelet alpha granule lumen (GO:0031093)	21/67	1.897498e-09	7.305369e-08	0	0	6.284106e+00	1.262020e+02	SRGN;CFD;TOR4A;APP;SERPINA1;SPARC;TGFB1;ACTN1;SERPINE1;F13A1;PPBP;GTPBP2;CLU;THBS1;TMSB4X;MAGED2;TIMP1;ALDOA;VTI1B;FERMT3;PF4
