Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Cellular_Component_2021	mitochondrial inner membrane (GO:0005743)	90/328	3.912779e-31	1.392949e-28	0	0	5.429024e+00	3.801180e+02	COX7B;MRPS15;ACADVL;SLC25A3;MRPS16;NDUFA11;COX4I1;MRPS12;NDUFA10;MRPL34;COX6A1;PHB2;MRPL41;LGALS3;MRPL3;CHCHD3;UQCRFS1;MRPL9;TMEM14C;COX8A;MRPS25;MRPS22;NDUFC2;NME4;SDHC;SDHD;MRPL45;MRPS7;MRPS6;SDHB;MRPS18C;COX6B1;HADHB;COX7A2L;SMDT1;MRPL51;NDUFS6;NDUFS5;NDUFS4;UQCRC1;NDUFS3;AURKAIP1;SLC25A5;DAP3;SLC25A6;TOMM40;NDUFB10;UQCRB;NDUFB11;NDUFB5;NDUFB4;MRPS34;NDUFB3;IFI6;TIMM13;NDUFB1;MRPL14;MRPL15;TIMM10;UQCR10;PHB;COX5B;COX5A;MRPL54;UQCRH;PARL;MRPL11;MRPL55;TIMM50;HSPD1;UCP2;CYC1;NDUFV3;NDUFV2;NDUFV1;NDUFA8;TIMMDC1;NDUFA6;NDUFA4;NDUFA2;MRPL27;NDUFA1;MRPL23;COX6C;MRPL21;TIMM10B;NDUFAB1;NDUFAF2;NDUFAF3;CYCS
GO_Cellular_Component_2021	organelle inner membrane (GO:0019866)	89/346	1.588923e-28	2.828283e-26	0	0	4.962783e+00	3.176644e+02	COX7B;MRPS15;SLC25A3;MRPS16;NDUFA11;COX4I1;MRPS12;NDUFA10;MRPL34;COX6A1;PHB2;MRPL41;LGALS3;MRPL3;CHCHD3;UQCRFS1;MRPL9;TMEM14C;COX8A;MRPS25;MRPS22;NDUFC2;NME4;SDHC;SDHD;MRPL45;MRPS7;MRPS6;SDHB;MRPS18C;COX6B1;HADHB;COX7A2L;SMDT1;MRPL51;NDUFS6;NDUFS5;NDUFS4;UQCRC1;NDUFS3;AURKAIP1;SLC25A5;DAP3;SLC25A6;TOMM40;NDUFB10;UQCRB;NDUFB11;NDUFB5;NDUFB4;MRPS34;NDUFB3;IFI6;TIMM13;NDUFB1;MRPL14;MRPL15;TIMM10;UQCR10;PHB;COX5B;COX5A;MRPL54;UQCRH;PARL;MRPL11;MRPL55;TIMM50;HSPD1;UCP2;CYC1;NDUFV3;NDUFV2;NDUFV1;NDUFA8;TIMMDC1;NDUFA6;NDUFA4;NDUFA2;MRPL27;NDUFA1;MRPL23;COX6C;MRPL21;TIMM10B;NDUFAB1;NDUFAF2;NDUFAF3;CYCS
GO_Cellular_Component_2021	mitochondrial membrane (GO:0031966)	105/469	5.095146e-28	6.046240e-26	0	0	4.161730e+00	2.615401e+02	NDUFA11;NDUFA10;COX6A1;PHB2;TOMM22;LGALS3;CHCHD3;TMEM14C;SDHC;SDHD;SDHB;MRPS18C;COX6B1;RAB32;OXA1L;COX7A2L;UQCRC1;VDAC3;VDAC2;AURKAIP1;DAP3;UQCRB;NDUFB10;NDUFB11;MRPL14;MRPL15;PHB;UQCRH;MRPL11;TIMM50;PMAIP1;CYC1;NDUFV3;NDUFV2;NDUFV1;MCL1;MRPL27;MRPL23;MRPL21;TIMM10B;OGDH;NDUFAF2;NDUFAF3;CYCS;SLC25A3;COX7B;MRPS15;ACADVL;MRPS16;COX4I1;MRPS12;MRPL34;MRPL41;MRPL3;TSPO;UQCRFS1;MRPL9;ACADM;COX8A;MRPS25;MRPS22;NDUFC2;NME4;MRPL45;MRPS7;MRPS6;DNM2;HADHB;SMDT1;MRPL51;NDUFS6;NDUFS5;NDUFS4;NDUFS3;SLC25A5;SLC25A6;TOMM40;NDUFB5;NDUFB4;NDUFB3;MRPS34;TIMM13;IFI6;NDUFB1;TIMM10;UQCR10;COX5B;COX5A;MRPL54;PARL;MRPL55;HSPD1;UCP2;BID;NDUFA8;TIMMDC1;NDUFA6;NDUFA4;MX2;NDUFA2;MX1;NDUFA1;COX6C;NDUFAB1;BAX
GO_Cellular_Component_2021	ficolin-1-rich granule (GO:0101002)	57/184	5.452093e-23	4.852363e-21	0	0	6.319671e+00	3.239682e+02	FCN1;SERPINA1;TMEM179B;CTSZ;ITGB2;CTSS;LGALS3;PSMD7;FTH1;COTL1;CTSH;RAC1;GUSB;CTSB;ACTR2;FCER1G;CD300A;GAA;PGAM1;COMMD3;MIF;DYNLL1;ILF2;RHOA;SERPINB6;PSMA5;DYNC1LI1;CLEC4C;PKM;CSNK2B;CAT;ALDOA;PPIA;VCL;CSTB;VCP;GSTP1;FGL2;PRCP;CST3;PSMB7;COMMD9;PRDX4;PSMB1;NCKAP1L;CCT8;CD55;XRCC6;GSN;ARPC5;LILRB2;DIAPH1;PFKL;IMPDH1;IMPDH2;MNDA;LAMTOR1
GO_Cellular_Component_2021	azurophil granule (GO:0042582)	49/155	2.266769e-20	1.613939e-18	0	0	6.476943e+00	2.929738e+02	TMEM179B;HEXB;GDI2;HEXA;PYCARD;HEBP2;GLIPR1;GUSB;SNAP29;CTSC;CAP1;ACTR2;ANXA2;GAA;RNASET2;PRKCD;STX7;NDUFC2;DDOST;VAMP8;VAMP7;NPC2;FTL;CD63;VCP;GRN;RAB5C;BRI3;STXBP2;PRCP;SYNGR1;DPP7;CREG1;PSAP;CCT8;TRAPPC1;GCA;CMTM6;LYZ;TUBB4B;PRDX6;CPPED1;BST2;FABP5;IMPDH1;TOLLIP;MNDA;LAMTOR1;CD68
GO_Cellular_Component_2021	secretory granule lumen (GO:0034774)	71/316	2.241841e-19	1.330159e-17	0	0	4.098160e+00	1.759825e+02	FCN1;APP;SERPINA1;HEXB;CTSZ;GDI2;OLA1;PYCARD;HEBP2;PSMD7;COTL1;CTSH;TIMP1;ACAA1;GUSB;CTSC;CAP1;SRGN;ACTR2;SERPINB1;ANXA2;PGAM1;RNASET2;PRKCD;MIF;ILF2;PSMA5;FGR;PKM;NPC2;CSNK2B;CAT;ALDOA;GAS6;PPIA;S100A9;VCL;DNASE1L1;FTL;CSTB;GRN;VCP;TEX264;GSTP1;CFP;PSMB7;COMMD9;PRDX4;DPP7;CREG1;PSMB1;CCT8;S100A11;XRCC6;GSN;TRAPPC1;GCA;XRCC5;ARPC5;LYZ;TUBB4B;PRDX6;CPPED1;PFKL;FABP5;IMPDH1;TOLLIP;IMPDH2;MNDA;PTPN6;FERMT3
GO_Cellular_Component_2021	mitochondrial respiratory chain complex I (GO:0005747)	25/42	5.276718e-19	2.348139e-17	0	0	2.033476e+01	8.558049e+02	NDUFA11;NDUFB10;NDUFB11;NDUFB5;NDUFB4;NDUFA10;NDUFB3;NDUFB1;NDUFV3;NDUFV2;NDUFV1;NDUFA8;NDUFA6;NDUFA4;NDUFA2;NDUFA1;NDUFC2;NDUFS8;NDUFS7;NDUFS6;NDUFS5;NDUFAB1;NDUFS4;NDUFS3;NDUFS2
GO_Cellular_Component_2021	respiratory chain complex I (GO:0045271)	25/42	5.276718e-19	2.348139e-17	0	0	2.033476e+01	8.558049e+02	NDUFA11;NDUFB10;NDUFB11;NDUFB5;NDUFB4;NDUFA10;NDUFB3;NDUFB1;NDUFV3;NDUFV2;NDUFV1;NDUFA8;NDUFA6;NDUFA4;NDUFA2;NDUFA1;NDUFC2;NDUFS8;NDUFS7;NDUFS6;NDUFS5;NDUFAB1;NDUFS4;NDUFS3;NDUFS2
GO_Cellular_Component_2021	intracellular membrane-bounded organelle (GO:0043231)	489/5192	1.150321e-16	4.550159e-15	0	0	1.641692e+00	6.025226e+01	RPL4;VPS29;ZNF296;POP7;SPI1;HNRNPU;ENO1;RBPJ;LIPA;PHB2;DCAF7;PSMD8;SPIB;ALKBH5;PSMD7;PSMD4;SCP2;AP1S2;PRKACA;DDX17;SAP30BP;MBNL1;PRKCD;DNTTIP1;WDR74;MED6;SCAMP2;EID1;CLNS1A;DDIT3;VPS25;ATF3;ASF1A;ATF4;LRPAP1;SET;ZNF22;WDR61;OAZ1;OAZ2;ANAPC11;MTDH;LDHA;PRDX4;MCMBP;ZBTB7A;S100A11;SERF2;BTF3;PLK3;LARP7;UPF3B;IRF2BP2;SNF8;PRDX6;PKIB;FIBP;EIF5;EHD4;EIF6;ADI1;HNRNPD;PPT1;OGDH;REL;PSMG2;HNRNPC;GAPT;CDKN1A;SERPINA1;TCF25;DENND1A;HEXA;CLTB;PQBP1;UBL5;TUBA1A;CHAF1A;TSPO;AP3S1;HLA-DPA1;APPL1;BRD2;DUSP2;ANXA1;TPI1;ANXA2;SIRT6;DYNLL1;GNL2;LRRC41;SERPINB6;PSMA5;PLSCR1;PSMA3;VAMP7;PSMA4;NCOR1;PSMA1;HCLS1;VAMP3;SF3B4;SF3B5;AHNAK;URM1;AOAH;PSMB6;PSMB7;PSMB4;HLA-DMA;HLA-DMB;PSMB5;PSMB2;PSMB3;NSD1;PSMB1;UBN1;AP2S1;LEO1;RPS2;ZNF467;SRSF11;BRD4;GSN;MDH2;STAT1;MCRS1;TRMT1;TUBB4B;PSMB8;TARBP1;PSMC5;FABP5;PSMC4;SNX17;APEX1;SERBP1;ZYX;MPLKIP;FOSB;LAMTOR4;MTCH2;PDCD6;PARK7;PPP1CB;PYCARD;ZFP36;TUBB6;RUVBL2;MPC2;CFL1;PAPOLA;NUDT16;KPNA2;MAF1;HMGN3;AP2M1;HMGN1;RPS9;CTNNBIP1;UBE2E2;PGD;ILF2;GTF2F2;THOC7;ILF3;NCL;S100A6;SRSF2;SNRPG;SRSF4;S100A4;SNRPE;SNRPF;SRSF7;S100A9;SNRPB;NOTCH2;CSF1R;DNMT1;MAX;KMT2C;ANKRD11;PHB;CORO1A;HSP90B1;SBNO1;BAG1;PSAP;MCL1;AKIRIN2;OSBPL8;LSM1;RFXANK;ARPC5;LSM2;DRAP1;COPRS;PTPRE;LSM7;LSM6;MAFB;ARPC2;ARPC3;MAFG;RCAN3;COPS8;MYD88;RNF187;ARRB2;TNFSF13B;PTBP1;HHEX;VPS72;SUMO3;IDH3B;PHACTR1;IDH3A;ACTR2;GPX4;VBP1;ATRX;RAD23A;RAD23B;DDOST;ARL4C;PTP4A2;PKM;CTDSP1;ETF1;TOP1;DNAJC8;SLC25A5;GAPDH;SLC25A6;MTPN;HDAC2;HDAC3;CCDC69;SRSF1;PRCP;PDHB;LAGE3;HDAC9;PPM1G;IFI16;DNAJB6;POLR2A;CCDC85B;POLR2E;SAP18;SNRPB2;POLR2H;DRAM2;POLR2I;HNRNPA0;PTPN18;HNRNPA3;DUT;SSB;TPRKB;IMPDH1;IMPDH2;PTPN6;EIF3E;MNDA;TRIM33;SPG21;LTV1;EIF4A1;SMARCB1;KDELR1;ZMYND8;SLC35B1;RTCB;EIF4A3;NUDT1;CCNC;UBE2L6;LDLRAD4;IFI30;ACTB;UBE2L3;TIAL1;RPS6KA4;LGALS3;MT2A;SNRPD1;FTH1;MAGOH;ARL6IP4;LGALS9;CCNL1;TRIM22;SMARCC1;SP110;TALDO1;RRAGC;SUB1;CSNK2B;XRN2;BTK;VDAC3;VDAC2;LAP3;PFN1;AURKAIP1;ANP32A;TEX264;MGST2;TXN;OSGEP;DGUOK;RAB11FIP1;ZNHIT1;ZNF706;SNX5;DECR1;XRCC6;GADD45B;XRCC5;BCL11A;SETDB2;SMARCA4;SNW1;ID2;ID1;NDUFAF3;GRB2;CALR;CALM2;RPS24;SRA1;AATF;CTSS;PTMS;BABAM1;C1QBP;MLX;CTSH;TMED2;ACADM;RAC1;CLIC2;CLIC1;CTSC;SEC13;SYK;STARD3NL;PRMT1;GAA;NCOA4;RHOG;COMMD1;RHOC;CBFA2T3;COMMD4;RHOA;NME1;MLF2;HCK;SCNM1;PABPC1;ALDOA;DNASE1L1;CD63;CSTB;STX16;WAS;CAPG;AIF1;NT5C;SH3BGRL;LMNA;SCAND1;CD74;RANBP1;YIPF4;YIF1A;RAB11A;PER1;THEMIS2;STK17B;HNRNPA2B1;MIDN;COMT;ACTG1;RGS2;CHCHD2;BASP1;BANF1;ZBP1;APLP2;DPM1;DOK1;UBE2V2;CHMP4B;PPIB;PPIA;VCP;TMED10;RBM8A;PLD4;PMF1;DPP7;PACSIN2;PMAIP1;CYC1;ISOC2;SPECC1;UBE2I;CPSF6;NONO;HMGA1;MSN;ISG15;EIF2S2;POU2F2;IFT20;NR4A2;NFKBIA;DIAPH1;NR4A1;ARHGAP30;BHLHE40;CYCS;YWHAE;DDX49;PRKCSH;HP1BP3;YBX1;DNPH1;YBX3;RBM3;SENP6;FLOT2;GUSB;CNPPD1;ZNF385A;KLF10;KDM6B;BUD31;DCXR;DDX54;ETV6;SFPQ;OAS1;THRAP3;CAT;IRF7;BLVRB;IRF8;RBMS1;LUC7L3;ITGB1BP1;PFDN2;FBP1;OTUB1;POLDIP2;POMP;TAF9;RNF7;SAMHD1;PSMB10;PABPN1;TRA2B;POLD2;FAM120A;TMEM208;RALY;SMNDC1;NIPSNAP3A;NAA10;TAF10;MX2;MX1;CMTM6;DEK;ATP2B1;YY1AP1;USF2;UFM1;PITHD1;RPS6KB2;RGS10;BAX;ACIN1;CHPT1;RAN
GO_Cellular_Component_2021	ficolin-1-rich granule lumen (GO:1904813)	39/123	1.525136e-16	5.429485e-15	0	0	6.464098e+00	2.354178e+02	FCN1;CSTB;VCP;SERPINA1;GSTP1;CTSZ;FGL2;CTSS;CST3;PSMB7;PSMD7;COMMD9;PRDX4;FTH1;PSMB1;COTL1;CTSH;CCT8;GUSB;CTSB;ACTR2;XRCC6;GSN;PGAM1;COMMD3;MIF;ARPC5;ILF2;PSMA5;PFKL;PKM;IMPDH1;IMPDH2;CSNK2B;CAT;MNDA;ALDOA;PPIA;VCL
